binning_data,update_time,create_time,source_pkg_name,source_type,count,avgcount,doubavg,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
b66720ab-ad20-4b51-8abd-aeaab9113370.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,380,526.3333333,569.2222222,1.3323276,302.85,24.6,rvAAWy9XGW,com.sec.android.app.shealth,b66720ab-ad20-4b51-8abd-aeaab9113370,1.64367E+12
4e9c3d51-9ec4-4785-98ad-b4577f735443.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,647,598,560.4444444,1.2481956,497.13998,39.079994,rvAAWy9XGW,com.sec.android.app.shealth,4e9c3d51-9ec4-4785-98ad-b4577f735443,1.64454E+12
0d1c926a-f194-4df2-8fd0-6e3557c56085.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,767,557,552.3333333,1.4696858,616.11,48.069996,rvAAWy9XGW,com.sec.android.app.shealth,0d1c926a-f194-4df2-8fd0-6e3557c56085,1.64497E+12
db045c12-cda4-4a2b-a5b9-c5c6e3e19b68.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,257,502,541.6666667,1.384488,204.64,15.959998,rvAAWy9XGW,com.sec.android.app.shealth,db045c12-cda4-4a2b-a5b9-c5c6e3e19b68,1.64566E+12
86ee7cc3-b142-4a6b-b897-b05609c8784f.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,482,566,550.6666667,1.6375729,401.08,30.51,rvAAWy9XGW,com.sec.android.app.shealth,86ee7cc3-b142-4a6b-b897-b05609c8784f,1.64696E+12
e8fde7f9-4ec3-429f-91e8-551ac53cd5d6.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,959,584,570.4444444,1.444542,748.49,57.539997,rvAAWy9XGW,com.sec.android.app.shealth,e8fde7f9-4ec3-429f-91e8-551ac53cd5d6,1.64419E+12
41695913-05db-44ca-adb9-2c2450afe17a.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,311,561.3333333,488.3333333,1.5318426,245.86,17.859999,rvAAWy9XGW,com.sec.android.app.shealth,41695913-05db-44ca-adb9-2c2450afe17a,1.64687E+12
9fcd093a-ab5e-4b59-a065-06201e77cac7.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,414,319.6666667,414.7777778,1.2781285,316.48,24.46,rvAAWy9XGW,com.sec.android.app.shealth,9fcd093a-ab5e-4b59-a065-06201e77cac7,1.64506E+12
2841d00b-9c41-47d2-8e9a-7a7596822515.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,234,363.3333333,348.6666667,1.310369,181.29001,13.999999,rvAAWy9XGW,com.sec.android.app.shealth,2841d00b-9c41-47d2-8e9a-7a7596822515,1.64549E+12
5d3a48bd-c893-45ae-bc9b-fac1c9ff5ad0.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,442,363,426.6666667,1.5023863,351.88,26.08,rvAAWy9XGW,com.sec.android.app.shealth,5d3a48bd-c893-45ae-bc9b-fac1c9ff5ad0,1.64471E+12
e2d8d3c9-632c-4b5d-90c3-65bf4c2a01f7.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,413,553.6666667,584.4444444,1.3077557,317.91,24.739998,rvAAWy9XGW,com.sec.android.app.shealth,e2d8d3c9-632c-4b5d-90c3-65bf4c2a01f7,1.64618E+12
39788e63-ec70-4717-aeda-0c2607e5ac11.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,806,836.6666667,747.6666667,1.3331567,620.51996,47.179993,rvAAWy9XGW,com.sec.android.app.shealth,39788e63-ec70-4717-aeda-0c2607e5ac11,1.64748E+12
601c4589-476b-4060-b29d-4d6935d8f9f9.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1291,852.6666667,950.6666667,1.5711343,1038.4,79.579994,rvAAWy9XGW,com.sec.android.app.shealth,601c4589-476b-4060-b29d-4d6935d8f9f9,1.64739E+12
ba859810-8475-4123-b840-1da68fbe479d.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,461,1162.666667,1002.888889,1.6253307,369.72,27.28,rvAAWy9XGW,com.sec.android.app.shealth,ba859810-8475-4123-b840-1da68fbe479d,1.64557E+12
5fa75569-a9a9-4413-a1d9-e1e3c6dac3b6.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1736,993.3333333,1078.111111,1.178213,1307.4698,103.339966,rvAAWy9XGW,com.sec.android.app.shealth,5fa75569-a9a9-4413-a1d9-e1e3c6dac3b6,1.64601E+12
d9a8a66b-e596-4976-98de-b6f43c2b7994.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,783,1078.333333,881.3333333,1.4101139,611.19,45.87999,rvAAWy9XGW,com.sec.android.app.shealth,d9a8a66b-e596-4976-98de-b6f43c2b7994,1.64523E+12
4f52a8bb-bb2a-44e7-9057-db1d25bb949e.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,716,572.3333333,693.3333333,1.1874812,542.20996,42.629993,rvAAWy9XGW,com.sec.android.app.shealth,4f52a8bb-bb2a-44e7-9057-db1d25bb949e,1.6467E+12
215ce653-4167-4cc8-a485-fefd4b562a3a.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,218,429.3333333,528.2222222,1.7523009,187.99,14.219999,rvAAWy9XGW,com.sec.android.app.shealth,215ce653-4167-4cc8-a485-fefd4b562a3a,1.64609E+12
52c1aef9-c1a6-4cfc-ba96-977a96f413f3.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,354,583,695,1.5880026,293.44998,22.849998,rvAAWy9XGW,com.sec.android.app.shealth,52c1aef9-c1a6-4cfc-ba96-977a96f413f3,1.64652E+12
dba2dc2d-2153-4b70-a8b5-a86a0e396864.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1177,1072.666667,957.7777778,1.5074012,947.24,73.6,rvAAWy9XGW,com.sec.android.app.shealth,dba2dc2d-2153-4b70-a8b5-a86a0e396864,1.64799E+12
4a37d5da-0eac-44dc-9c50-46a1d9eefbbe.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,1687,1217.666667,1071,1.3042383,1302.09,99.83998,rvAAWy9XGW,com.sec.android.app.shealth,4a37d5da-0eac-44dc-9c50-46a1d9eefbbe,1.64791E+12
b20d3973-7c49-4559-948a-0f5c609aff31.binning_data.json,44:58.2,44:58.2,com.sec.android.app.shealth,0,789,922.6666667,1372.666667,1.4655534,633.37,49.359993,rvAAWy9XGW,com.sec.android.app.shealth,b20d3973-7c49-4559-948a-0f5c609aff31,1.64704E+12
